market,h,ret,excess,rsi_evict
IN,63,33.03037550825161,36.38361219339292,42.5
IN,21,-9.79962956726721,-8.727489956324298,50.1
IN,63,-15.575012628388619,-11.611293695454773,50.1
IN,21,11.537001897533194,11.069195947652567,39.7
IN,63,40.1518026565465,39.36366622270005,39.7
IN,21,10.145615701171252,9.378356706497227,47.3
IN,63,28.553339664450796,27.765203230604342,47.3
IN,21,-1.5050377833753181,0.935161091894976,42.5
IN,63,-3.060453400503771,5.543593893653121,42.5
IN,21,8.241145300734388,8.241145300734388,34.4
IN,63,19.20609835455982,21.220183852442478,34.4
IN,21,28.641571194762694,29.823189257799843,45.1
IN,63,37.880523731587566,41.32485074144937,45.1
IN,21,3.0261348005502064,7.660922567241791,39.5
IN,63,-2.8610729023383796,0.7045271414232501,39.5
IN,21,4.7983799964782525,6.7983730644118445,42.7
IN,63,21.456242296178907,27.433621583610368,42.7
IN,21,3.431131508495877,3.864850229963024,41.2
IN,63,8.206304977326129,9.986165161309291,41.2
IN,21,31.465517241379317,32.244169248058384,37.4
IN,63,11.206896551724132,18.397047800953615,37.4
